                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.8803,                 1.9414,                 1.4012,                 1.2075,                0.44418,                0.46432,                0.33463,                0.21836,                0.44102,                0.47915,                  0.326,                0.19708,                 1.2372,                 2.5308,                 1.6693,                 1.5355,              0.0007723,              0.0007723,              0.0007723
                     25,                0.86703,                 1.8682,                 1.3775,                 1.2006,                0.35083,                0.40851,                0.34839,                0.23913,                 0.4108,                0.35008,                0.33828,                0.21995,                 1.2022,                 2.7479,                 1.6887,                 1.4907,              0.0007624,              0.0007624,              0.0007624
                     26,                0.84163,                 1.8276,                 1.2893,                 1.1776,                0.33135,                0.38593,                0.33388,                0.22188,                0.32165,                0.37771,                0.31245,                0.20715,                 1.1521,                 2.6164,                 1.6367,                 1.4528,              0.0007525,              0.0007525,              0.0007525
                     27,                0.85328,                 1.7308,                 1.2515,                 1.1631,                0.43335,                0.33675,                0.37187,                0.25874,                0.44263,                0.33908,                0.37371,                0.25185,                 1.2541,                 2.7585,                 1.9265,                 1.5402,              0.0007426,              0.0007426,              0.0007426
                     28,                0.84908,                 1.8106,                 1.2671,                 1.1781,                0.31414,                 0.4545,                0.37267,                0.24034,                0.30192,                0.43755,                0.35271,                 0.2181,                 1.1198,                 2.5097,                 1.7525,                 1.4135,              0.0007327,              0.0007327,              0.0007327
                     29,                0.80257,                 1.6723,                 1.2185,                 1.1505,                0.53551,                0.39436,                0.34389,                0.24055,                0.57187,                0.34671,                0.32831,                0.22484,                 1.1076,                 2.6041,                 1.6373,                 1.4203,              0.0007228,              0.0007228,              0.0007228
                     30,                0.80336,                 1.7878,                 1.1888,                 1.1459,                0.33095,                0.38459,                0.34256,                0.23658,                0.34878,                0.40093,                0.34323,                0.21902,                 1.1667,                 2.5776,                  1.766,                 1.4696,              0.0007129,              0.0007129,              0.0007129
                     31,                0.76708,                 1.6751,                 1.1458,                 1.1193,                0.33965,                0.47909,                0.36942,                0.26752,                0.34341,                0.47728,                0.36612,                0.24288,                 1.0752,                 2.6999,                  1.452,                 1.4207,               0.000703,               0.000703,               0.000703
                     32,                0.80192,                  1.619,                 1.1786,                 1.1429,                 0.3432,                0.47777,                0.44297,                 0.3066,                0.34297,                0.46585,                0.42846,                0.30742,                 1.1019,                 2.7374,                 1.5536,                 1.4128,              0.0006931,              0.0006931,              0.0006931
                     33,                0.78606,                 1.6804,                 1.1666,                 1.1427,                0.43696,                0.35665,                0.39842,                0.28303,                0.43166,                0.35306,                0.37677,                 0.2541,                 1.0869,                 2.5205,                 1.5912,                 1.4202,              0.0006832,              0.0006832,              0.0006832
                     34,                0.74583,                 1.5932,                 1.0881,                  1.099,                0.38769,                0.41065,                 0.3489,                0.23904,                0.39397,                0.39578,                0.33712,                 0.2141,                  1.082,                 2.7146,                 1.5218,                 1.4317,              0.0006733,              0.0006733,              0.0006733
